@relation 'RandomTit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R4,8_clustered'

@attribute Instance_number numeric
@attribute ﻿Survived {0,1}
@attribute Pclass {1,2,3}
@attribute Sex {0,1}
@attribute Fare {0,1,2,3}
@attribute Has_Cabin {0,1}
@attribute FamilySize {1,2,3,4,5,6,7,8,11}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
712,1,1,0,2,1,1,cluster3
713,0,2,1,2,0,4,cluster0
714,1,3,1,2,0,3,cluster1
715,1,1,0,3,1,1,cluster3
716,1,1,0,3,1,2,cluster3
717,0,3,1,0,0,1,cluster2
718,0,3,1,0,0,1,cluster2
719,0,2,1,0,0,1,cluster0
720,1,3,1,1,0,1,cluster0
721,0,3,1,0,0,1,cluster2
722,0,1,1,2,0,1,cluster0
723,1,2,0,1,0,1,cluster0
724,0,1,1,3,1,2,cluster3
725,0,3,1,0,0,1,cluster2
726,1,1,0,3,1,2,cluster3
727,0,1,1,3,0,2,cluster3
728,1,1,0,3,0,1,cluster3
729,1,2,0,3,0,1,cluster0
730,0,3,0,2,0,5,cluster1
731,0,3,1,1,0,1,cluster0
732,1,1,0,3,1,2,cluster3
733,0,3,0,0,0,3,cluster1
734,0,3,1,1,0,1,cluster0
735,0,2,1,1,0,1,cluster0
736,0,3,1,1,0,1,cluster0
737,1,1,1,2,0,1,cluster0
738,0,3,0,0,0,1,cluster2
739,1,1,0,3,0,2,cluster1
740,0,3,1,2,0,3,cluster1
741,1,2,0,2,0,2,cluster1
742,0,3,1,0,0,1,cluster2
743,0,3,1,0,0,1,cluster2
744,0,1,1,3,0,1,cluster3
745,0,3,1,0,0,1,cluster2
746,1,1,0,3,1,2,cluster3
747,0,2,1,1,0,1,cluster0
748,1,2,1,2,0,3,cluster0
749,0,1,1,3,1,1,cluster3
750,1,2,0,2,0,2,cluster1
751,0,2,1,1,0,4,cluster0
752,0,3,1,1,0,1,cluster0
753,1,3,0,1,0,3,cluster1
754,1,1,1,3,1,4,cluster3
755,0,3,1,0,0,1,cluster2
756,0,3,1,0,0,1,cluster2
757,1,3,0,2,0,4,cluster1
758,1,1,0,3,1,2,cluster3
759,0,3,1,0,0,3,cluster2
760,0,1,1,3,0,2,cluster3
761,1,1,0,2,1,1,cluster3
762,1,1,0,3,1,2,cluster3
763,1,2,0,2,0,1,cluster0
764,1,1,0,3,1,1,cluster3
765,0,3,1,0,0,1,cluster2
766,1,2,0,2,0,4,cluster1
767,1,3,1,1,0,1,cluster0
768,1,1,0,3,1,1,cluster3
769,0,3,1,2,0,6,cluster1
770,1,3,1,1,0,1,cluster0
771,1,2,1,1,0,1,cluster0
772,0,1,1,3,0,1,cluster3
773,0,3,1,1,0,1,cluster0
774,0,2,1,2,0,1,cluster0
775,0,2,1,1,0,1,cluster0
776,0,3,0,0,0,1,cluster2
777,1,3,1,1,0,3,cluster0
778,0,1,1,2,1,1,cluster3
779,0,3,1,1,0,1,cluster0
780,0,3,0,2,0,5,cluster1
781,0,3,1,2,0,2,cluster1
782,0,3,1,1,0,1,cluster0
783,0,3,1,0,0,1,cluster2
784,0,3,1,0,0,1,cluster2
785,1,1,1,3,1,2,cluster3
786,0,3,1,0,0,1,cluster2
787,0,3,1,0,0,1,cluster2
788,0,3,1,0,0,1,cluster2
789,0,1,1,2,0,1,cluster0
790,1,1,0,3,1,1,cluster3
791,0,3,1,2,0,1,cluster2
792,1,3,0,0,0,1,cluster2
793,0,3,1,0,0,1,cluster2
794,0,3,1,0,0,1,cluster2
795,0,3,1,0,0,1,cluster2
796,1,3,0,1,0,2,cluster1
797,1,2,0,1,0,3,cluster0
798,1,2,0,3,1,4,cluster3
799,0,1,1,3,1,1,cluster3
800,0,3,1,2,0,3,cluster1
801,0,2,1,2,0,1,cluster0
802,0,3,1,1,0,3,cluster0
803,0,3,0,3,0,11,cluster1
804,0,3,1,1,0,1,cluster0
805,1,2,0,2,0,2,cluster1
806,1,2,0,2,0,4,cluster1
807,0,1,1,3,1,2,cluster3
808,1,2,0,2,0,3,cluster1
809,0,3,1,0,0,1,cluster2
810,0,3,1,0,0,1,cluster2
811,1,3,1,2,0,3,cluster1
812,0,3,1,0,1,1,cluster2
813,1,2,0,2,0,2,cluster1
814,0,3,1,0,0,1,cluster2
815,0,1,1,3,1,3,cluster3
816,0,3,1,2,0,6,cluster1
817,0,3,1,0,0,1,cluster2
818,0,3,0,3,0,11,cluster1
819,0,2,1,2,0,2,cluster0
820,1,2,0,1,0,1,cluster0
821,1,2,1,1,1,1,cluster0
822,0,3,1,2,0,1,cluster2
823,1,3,0,1,1,2,cluster1
824,0,1,1,3,1,3,cluster3
825,0,1,1,2,0,1,cluster0
826,0,3,0,2,0,2,cluster1
827,0,3,1,0,0,1,cluster2
828,1,3,1,3,0,1,cluster2
829,1,1,0,3,1,3,cluster3
830,0,3,1,1,0,1,cluster0
831,0,1,1,3,1,1,cluster3
832,1,1,1,3,1,2,cluster3
833,1,1,1,2,0,1,cluster0
834,0,3,1,0,0,1,cluster2
835,0,3,1,1,0,1,cluster0
836,0,3,0,1,1,3,cluster1
837,0,3,1,1,0,1,cluster0
838,1,1,1,3,1,2,cluster3
839,0,3,1,0,0,1,cluster2
840,1,3,0,0,0,1,cluster2
841,0,3,1,3,0,11,cluster2
842,0,3,1,1,0,1,cluster0
843,0,3,1,2,0,1,cluster2
844,0,3,1,0,0,1,cluster2
845,0,3,0,1,0,2,cluster1
846,1,3,0,2,1,3,cluster1
847,0,3,1,1,0,1,cluster0
848,1,2,1,3,0,3,cluster0
849,1,3,1,2,0,3,cluster1
850,0,3,1,1,0,1,cluster0
851,1,2,0,2,0,4,cluster1
852,0,1,1,3,1,2,cluster3
853,1,1,0,3,1,2,cluster3
854,0,3,1,1,0,1,cluster0
855,1,2,1,2,0,3,cluster0
856,0,1,1,3,1,2,cluster3
857,0,3,1,0,0,1,cluster2
858,1,3,1,0,0,1,cluster2
859,0,3,0,1,0,1,cluster0
860,0,3,1,0,0,1,cluster2
861,0,3,1,1,0,1,cluster0
862,0,3,1,0,0,1,cluster2
863,0,3,1,0,0,1,cluster2
864,1,2,1,2,1,3,cluster0
865,0,2,1,0,0,1,cluster0
866,1,3,0,0,0,1,cluster2
867,0,1,1,2,0,1,cluster0
868,0,2,1,3,0,3,cluster0
869,0,3,1,0,0,1,cluster2
870,1,3,0,0,0,1,cluster2
871,0,3,1,0,0,1,cluster2
872,1,1,0,3,1,3,cluster3
873,0,3,1,1,0,1,cluster0
874,1,1,0,3,1,3,cluster3
875,0,2,1,2,0,2,cluster0
876,1,3,0,0,0,1,cluster2
877,1,1,0,3,1,3,cluster3
878,1,2,0,2,0,2,cluster1
879,0,1,1,3,1,2,cluster3
880,0,3,0,1,1,2,cluster1
881,0,3,1,0,0,1,cluster2
882,0,3,1,1,0,1,cluster0
883,0,3,1,0,0,1,cluster2
884,0,3,1,2,0,2,cluster1
885,0,3,1,1,0,1,cluster0
886,1,1,1,2,0,1,cluster0
887,1,1,0,3,0,1,cluster3
888,0,2,1,2,0,3,cluster0
889,0,3,1,1,0,1,cluster0
890,0,3,1,0,0,1,cluster2
